Iraq,Ninewa,West Mosul,17 Tamuz
Iraq,Ninewa,West Mosul,AL.Dawasah
Iraq,Ninewa,West Mosul,AL.Nablus
Iraq,Ninewa,West Mosul,Al-Abar
Iraq,Ninewa,West Mosul,Al-Akidat
Iraq,Ninewa,West Mosul,AL-Amal
Iraq,Ninewa,West Mosul,AL-Amal2
Iraq,Ninewa,West Mosul,Al-Aribi
Iraq,Ninewa,West Mosul,Al-Aslah AlZraii
Iraq,Ninewa,West Mosul,Al-Danadan
Iraq,Ninewa,West Mosul,Al-Ghazlani
Iraq,Ninewa,West Mosul,Al-Harama
Iraq,Ninewa,West Mosul,AL-Jawsaq
Iraq,Ninewa,West Mosul,AL-Kanisah
Iraq,Ninewa,West Mosul,Al-Mamun
Iraq,Ninewa,West Mosul,AL-Mansur
Iraq,Ninewa,West Mosul,Al-Mattahin
Iraq,Ninewa,West Mosul,Al-Mualimin
Iraq,Ninewa,West Mosul,Al-Nabi Shiet
Iraq,Ninewa,West Mosul,Al-Nables
Iraq,Ninewa,West Mosul,Al-Najjar
Iraq,Ninewa,West Mosul,Al-Rabi‘
Iraq,Ninewa,West Mosul,Al-Rifai
Iraq,Ninewa,West Mosul,Al-Risalah
Iraq,Ninewa,West Mosul,AL-Sahaa
Iraq,Ninewa,West Mosul,Al-Shifa
Iraq,Ninewa,West Mosul,Al-Shuhada 
Iraq,Ninewa,West Mosul,Al-Shuhada 2
Iraq,Ninewa,West Mosul,Al-Skk
Iraq,Ninewa,West Mosul,Al-Tanak (Nahrwan)
Iraq,Ninewa,West Mosul,Al-Tawafa
Iraq,Ninewa,West Mosul,Al-Tayaran
Iraq,Ninewa,West Mosul,Al-Thawra
Iraq,Ninewa,West Mosul,AL-Uruba
Iraq,Ninewa,West Mosul,Al-Warshan
Iraq,Ninewa,West Mosul,Al-Yermuk
Iraq,Ninewa,West Mosul,AL-Zinjli
Iraq,Ninewa,West Mosul,Bab Al-Tub
Iraq,Ninewa,West Mosul,Bab sinjar
Iraq,Ninewa,West Mosul,Mashirfa
Iraq,Ninewa,West Mosul,Mosul Al Qadima
Iraq,Ninewa,West Mosul,Mosul Al-Jadida
Iraq,Ninewa,West Mosul,Qaryat Tal Ar-rayan
Iraq,Ninewa,West Mosul,Rajim Hadid
Iraq,Ninewa,West Mosul,Tal Al-Ruman
Iraq,Ninewa,West Mosul,wadi AL-Ayn AL-Janubi
Iraq,Ninewa,West Mosul,Wadi Egab industrial area
Iraq,Ninewa,West Mosul,Wadi-AL-Jawsaq
Iraq,Ninewa,West Mosul,Wadi-Hajar
Iraq,Ninewa,West Mosul,Others
Iraq,Ninewa,East Mosul,Adan
Iraq,Ninewa,East Mosul,Al-Akha
Iraq,Ninewa,East Mosul,Al-Andalus
Iraq,Ninewa,East Mosul,Al-Arabi
Iraq,Ninewa,East Mosul,AL-Arbajiyah
Iraq,Ninewa,East Mosul,AL-Arkub
Iraq,Ninewa,East Mosul,Al-Bakir
Iraq,Ninewa,East Mosul,Al-Baldiyat
Iraq,Ninewa,East Mosul,AL-Barid
Iraq,Ninewa,East Mosul,Al-Dhubat
Iraq,Ninewa,East Mosul,Al-Faisaliyah
Iraq,Ninewa,East Mosul,Al-Falah
Iraq,Ninewa,East Mosul,Al-Furqan/baath
Iraq,Ninewa,East Mosul,Al-Ghufran
Iraq,Ninewa,East Mosul,AL-I‘llam/Al-Shohada‘a
Iraq,Ninewa,East Mosul,Al-Intisar
Iraq,Ninewa,East Mosul,AL-Istiqlal
Iraq,Ninewa,East Mosul,Al-Jaza‘ir
Iraq,Ninewa,East Mosul,Al-Karamah
Iraq,Ninewa,East Mosul,Al-Karkukli
Iraq,Ninewa,East Mosul,Al-Kindy
Iraq,Ninewa,East Mosul,Al-Maliyah
Iraq,Ninewa,East Mosul,Al-Masarif
Iraq,Ninewa,East Mosul,Al-Mazari‘
Iraq,Ninewa,East Mosul,AL-Mithaq
Iraq,Ninewa,East Mosul,Al-Mrur
Iraq,Ninewa,East Mosul,Al-Muhandisin
Iraq,Ninewa,East Mosul,Al-Muharbin
Iraq,Ninewa,East Mosul,Al-Muthanna
Iraq,Ninewa,East Mosul,Al-Na‘amiyah
Iraq,Ninewa,East Mosul,Al-Nahdha
Iraq,Ninewa,East Mosul,Al-Noor
Iraq,Ninewa,East Mosul,Al-Qadisiyah
Iraq,Ninewa,East Mosul,Al-Qahira
Iraq,Ninewa,East Mosul,Al-Quds
Iraq,Ninewa,East Mosul,AL-Rashidiyah
Iraq,Ninewa,East Mosul,Al-Sadiq
Iraq,Ninewa,East Mosul,AL-Shaima
Iraq,Ninewa,East Mosul,AL-Shorta
Iraq,Ninewa,East Mosul,Al-Suis
Iraq,Ninewa,East Mosul,Al-Sukker
Iraq,Ninewa,East Mosul,Al-Ta‘mim
Iraq,Ninewa,East Mosul,Al-Tahrir
Iraq,Ninewa,East Mosul,Al-Thaqafa
Iraq,Ninewa,East Mosul,Al-Wahda
Iraq,Ninewa,East Mosul,Al-Zahraa
Iraq,Ninewa,East Mosul,AL-Zera‘i
Iraq,Ninewa,East Mosul,AL-Zohoor
Iraq,Ninewa,East Mosul,Bab Nerkal
Iraq,Ninewa,East Mosul,Domiz
Iraq,Ninewa,East Mosul,Eeastern Ninewa
Iraq,Ninewa,East Mosul,Eeastern Yarimjah
Iraq,Ninewa,East Mosul,Filastin
Iraq,Ninewa,East Mosul,Gogjali
Iraq,Ninewa,East Mosul,Hadba
Iraq,Ninewa,East Mosul,Hadba Apartments
Iraq,Ninewa,East Mosul,Hay AL-Samah
