DRC%00,,,
DRC%00,Ituri%01,,
DRC%00,Autre%02,,
DRC%00,Ituri%01,Adi%0101,
DRC%00,Ituri%01,Adja%0102,
DRC%00,Ituri%01,Angumu%0103,
DRC%00,Ituri%01,Ariwara%0104,
DRC%00,Ituri%01,Aru%0105,
DRC%00,Ituri%01,Aungba%0106,
DRC%00,Ituri%01,Bambu%0107,
DRC%00,Ituri%01,Biringi%0108,
DRC%00,Ituri%01,Boga%0109,
DRC%00,Ituri%01,Bunia%0110,
DRC%00,Ituri%01,Damas%0111,
DRC%00,Ituri%01,Drodro%0112,
DRC%00,Ituri%01,Fataki%0113,
DRC%00,Ituri%01,Gethy%0114,
DRC%00,Ituri%01,Jiba%0115,
DRC%00,Ituri%01,Kambala%0116,
DRC%00,Ituri%01,Kilo%0117,
DRC%00,Ituri%01,Komanda%0118,
DRC%00,Ituri%01,Laybo%0119,
DRC%00,Ituri%01,Linga%0120,
DRC%00,Ituri%01,Lita%0121,
DRC%00,Ituri%01,Logo%0122,
DRC%00,Ituri%01,Lolwa%0123,
DRC%00,Ituri%01,Mahagi%0124,
DRC%00,Ituri%01,Mambasa%0125,
DRC%00,Ituri%01,Mandima%0126,
DRC%00,Ituri%01,Mangala%0127,
DRC%00,Ituri%01,Mongbalu%0128,
DRC%00,Ituri%01,Nia-Nia%0129,
DRC%00,Ituri%01,Nizi%0130,
DRC%00,Ituri%01,Nyankunde%0131,
DRC%00,Ituri%01,Nyarambe%0132,
DRC%00,Ituri%01,Rethy%0133,
DRC%00,Ituri%01,Rimba%0134,
DRC%00,Ituri%01,Rwampara%0135,
DRC%00,Ituri%01,Tchomia%0136,
